p_0	N100_BC08	13066	
p_1	N100_BC08	10472	
p_2	N111_BC11	19822	
p_3	N130_BC07	9033	
p_4	N130_BC07	31814	TetL;
p_5	N139_BC03	109836	
p_6	N149_BC04	237643	MphA;SHV-OKP-LEN;
p_7	N122_BC10	73054	
p_8	N122_BC10	183664	
p_9	N122_BC10	4813	
p_10	N122_BC10	337564	
p_11	N122_BC10	93041	
p_12	N175_BC02	2983	
p_13	N134_BC11	29095	Far1;BlaZ;AadD;TetK;
p_14	N117_BC10	5708	
p_15	N117_BC10	7150	
p_16	N100_BC07	6212	
p_17	N100_BC07	17351	
p_18	N177_BC10	4418	TetK;
p_19	N177_BC10	55310	
p_20	N204_BC05	109897	
p_23	N217_BC09	2986	
p_24	N217_BC09	3275	
p_25	N217_BC09	67348	
p_26	N217_BC09	51223	
p_27	N217_BC09	97080	
p_28	N217_BC09	2003	
p_29	N217_BC09	5762	
p_30	N101_BC08	37331	
p_31	N106_BC07	66753	CatBx;OXA-1;OXA-48;AacAad;
p_32	N106_BC07	8293	
p_33	N106_BC07	179173	Aph3''Ia;DfrA1;TetA;FloR;AadA;Qnr-S;SulIII;
p_34	N236_BC03	55298	
p_35	N221_BC07	28817	DfrC;BlaZ;
p_36	N221_BC07	11864	
p_37	N140_BC03	80354	
p_38	N190_BC04	4113	
p_39	N190_BC04	7101	
p_40	N190_BC04	3281	
p_41	N190_BC04	2090	
p_42	N190_BC04	4343	
p_43	N190_BC04	50999	
p_44	N190_BC04	7811	
p_45	N190_BC04	221409	VanY-A;VanR-A;Aac6-Aph2;VanH-Pt;VanX;VanS-A;VanA;VanX-M;
p_46	N229_BC05	5406	
p_47	N229_BC05	33198	
p_48	N229_BC05	134048	
p_49	N229_BC05	2743	
p_50	N229_BC05	4462	
p_51	N229_BC05	4451	
p_52	N229_BC05	9008	
p_53	N229_BC05	93073	
p_54	N145_BC10	67857	
p_55	N224_BC05	71702	
p_56	N121_BC02	20381	MsrA;MphC;
p_57	N121_BC02	19850	LnuA;AadD;TetK;
p_58	N189_BC04	2486	ErmC;
p_59	N189_BC04	32894	
p_60	N189_BC04	5043	TetK;
p_61	N163_BC12	40828	MsrA;MphC;
p_62	N124_BC12	4384	
p_63	N176_BC05	2377	
p_64	N176_BC05	6913	TetK;
p_65	N176_BC05	10399	VgaA;
p_66	N148_BC02	20003	
p_67	N167_BC11	18558	
p_68	N199_BC01	2971	
p_69	N199_BC01	3778	ErmC;
p_70	N115_BC12	11815	
p_71	N115_BC12	8724	
p_72	N115_BC02	219352	
p_73	N115_BC02	12931	
p_74	N212_BC11	165610	
p_75	N204_BC09	2503	ErmC;
p_76	N204_BC09	34997	
p_77	N204_BC09	83156	
p_78	N204_BC09	114401	
p_79	N204_BC09	214931	
p_80	N204_BC09	114445	
p_81	N109_BC01	12642	MsrA;
p_82	N109_BC01	60731	
p_83	N109_BC01	30644	BlaZ;
p_84	N226_BC03	14575	
p_85	N226_BC03	4670	
p_86	N226_BC03	4652	
p_87	N226_BC03	3969	
p_88	N160_BC04	9453	
p_89	N189_BC08	6201	
p_90	N132_BC01	4923	TetK;
p_91	N132_BC01	4610	
p_92	N125_BC09	28218	MsrA;MphC;
p_93	N166_BC11	4965	TetK;
p_94	N166_BC11	44834	ErmC;Far1;TetL;AadD;
p_95	N116_BC02	11832	
p_96	N151_BC05	109668	
p_97	N118_BC02	109834	
p_98	N228_BC01	2207	
p_99	N228_BC01	70124	
p_100	N228_BC01	6036	
p_101	N228_BC01	88607	
p_102	N228_BC01	49753	
p_103	N165_BC04	70008	
p_104	N165_BC04	5465	
p_105	N165_BC04	5473	
p_106	N165_BC04	44090	BlaZ;
p_107	N135_BC05	5965	
p_108	N135_BC05	11060	
p_109	N196_BC11	62084	Aph3''Ia;SulI;TetC;AadB;
p_110	N196_BC11	195019	
p_111	N216_BC12	227750	SulII;MsrE;StrA;StrB;
p_112	N225_BC03	6227	
p_113	N225_BC03	3748	CatA;
p_114	N225_BC03	54756	
p_115	N225_BC03	4955	TetK;
p_116	N225_BC03	43676	BlaZ;
p_117	N174_BC05	41791	
p_118	N219_BC07	28287	
p_119	N219_BC07	122041	
p_120	N219_BC07	94497	
p_121	N219_BC07	97512	
p_122	N219_BC07	16179	
p_123	N217_BC01	70030	
p_124	N203_BC11	2450	ErmC;
p_125	N141_BC02	28194	AadD;
p_126	N185_BC04	195046	
p_127	N177_BC02	169862	
p_128	N175_BC04	62042	Aph3''Ia;SulI;TetC;AadB;
p_129	N175_BC04	195066	
p_130	N226_BC02	8230	
p_131	N226_BC02	112066	AadA;SHV-OKP-LEN;AacAad;
p_132	N118_BC03	54470	Tet-39;
p_133	N238_BC11	5222	
p_134	N238_BC11	75186	
p_135	N238_BC11	98162	
p_136	N238_BC11	113756	
p_137	N238_BC11	5363	
p_138	N110_BC08	71429	
p_139	N110_BC08	9034	
p_140	N110_BC08	4639	
p_141	N185_BC11	5176	
p_142	N185_BC11	6240	
p_143	N185_BC11	253210	
p_144	N185_BC11	98173	ErmB;Aph3-III;Ant6-Ia;TetL;
p_145	N230_BC05	31676	ErmB;Sat4A;Aph3-III;Ant6-Ia;
p_146	N190_BC03	4336	
p_147	N190_BC03	61061	
p_148	N190_BC03	51013	
p_149	N190_BC03	241246	VanY-A;VanR-A;Aac6-Aph2;VanH-Pt;VanX;VanS-A;VanA;VanX-M;
p_150	N138_BC02	8649	
p_151	N114_BC02	4383	TetK;
p_152	N114_BC02	19687	ErmC;AadD;
p_153	N220_BC06	48385	
p_154	N150_BC09	2433	ErmC;
p_155	N150_BC09	67923	
p_156	N214_BC04	238010	MphA;SHV-OKP-LEN;
p_157	N214_BC04	167258	
p_158	N110_BC11	4011	
p_159	N110_BC11	6110	VgaA;
p_160	N110_BC11	60889	
p_161	N110_BC11	4743	
p_162	N110_BC11	1301	
p_163	N129_BC06	6027	AadB;
p_164	N129_BC06	109886	
p_165	N129_BC06	13638	Tet-39;
p_166	N148_BC09	67954	
p_167	N125_BC04	22582	MsrA;MphC;
p_168	N125_BC04	23793	MsrA;BlaZ;
p_169	N125_BC04	30045	
p_172	N210_BC09	3012	
p_173	N210_BC09	12581	
p_174	N210_BC09	4613	
p_175	N210_BC09	67375	
p_176	N210_BC09	4157	
p_177	N203_BC07	2448	ErmC;
p_178	N203_BC07	3538	
p_179	N203_BC07	3473	
p_180	N227_BC04	218981	
p_181	N213_BC08	4846	
p_182	N213_BC08	126206	
p_183	N202_BC02	5729	
p_184	N202_BC02	7851	
p_185	N202_BC02	10278	
p_186	N202_BC02	3584	
p_187	N202_BC02	16632	
p_188	N202_BC02	79507	
p_189	N202_BC02	7170	
p_190	N234_BC09	6233	
p_191	N234_BC09	54829	
p_192	N234_BC09	7673	
p_193	N234_BC09	69326	CatA;ErmB;TetS;Aac6-Aph2;
p_194	N207_BC02	4052	
p_195	N207_BC02	3484	
p_196	N196_BC04	4462	TetK;
p_197	N196_BC04	26725	MsrA;MphC;
p_198	N196_BC04	122133	
p_199	N196_BC04	4258	
p_200	N196_BC04	4316	
p_201	N196_BC04	51225	
p_202	N196_BC04	5764	
p_203	N123_BC08	207122	
p_204	N123_BC08	176216	
p_205	N139_BC06	9184	
p_206	N195_BC04	197836	
p_207	N195_BC04	6036	
p_208	N195_BC04	87964	
p_209	N195_BC04	306812	
p_210	N206_BC05	2446	ErmC;
p_211	N206_BC05	34964	
p_212	N206_BC05	3129	
p_213	N206_BC05	10160	
p_214	N206_BC05	4675	
p_215	N142_BC02	7034	
p_216	N212_BC08	8663	
p_217	N212_BC08	70425	
p_218	N103_BC01	11069	
