N168_BC02	Serratia_marcescens	99.88	0.22	HIGH_QUAL	16.94166	50.000	13905	25.8	0.001
N167_BC12	Serratia_marcescens	99.78	0.00	HIGH_QUAL	16.94166	50.000	13384	26.0	0.001
N149_BC05	Serratia_marcescens	99.85	0.19	HIGH_QUAL	13.85536	36.000	9696	27.4	0.002
N106_BC07	Klebsiella_pneumoniae	99.59	0.95	HIGH_QUAL	54.86291	36.000	3476	31.9	0.001
N152_BC05	Serratia_marcescens	99.38	0.22	HIGH_QUAL	13.85536	35.000	9276	27.6	0.002
N156_BC10	Enterococcus_faecium	98.53	0.37	HIGH_QUAL	19.37221	34.000	128	43.8	0.003
N114_BC11	Serratia_marcescens	99.77	1.56	MEDIUM_QUAL	22.35024	29.000	784	38.6	0.001
N114_BC10	Serratia_marcescens	98.84	1.56	MEDIUM_QUAL	22.35024	29.000	763	38.7	0.001
N114_BC08	Serratia_marcescens	99.86	1.56	MEDIUM_QUAL	22.35024	29.000	637	39.5	0.001
N164_BC07	Serratia_marcescens	99.72	0.00	HIGH_QUAL	10.68628	26.000	9570	27.4	0.005
N115_BC07	Klebsiella_pneumoniae	97.56	0.23	HIGH_QUAL	17.03777	25.000	3766	31.5	0.002
N123_BC11	Serratia_marcescens	98.25	0.22	HIGH_QUAL	6.23868	19.000	3025	32.4	0.002
N123_BC08	Serratia_marcescens	99.19	0.55	HIGH_QUAL	6.23868	19.000	3548	31.8	0.002
N123_BC06	Serratia_marcescens	99.65	0.89	MEDIUM_QUAL	6.23868	18.000	7816	28.5	0.021
N124_BC06	Staphylococcus_aureus	96.73	1.70	HIGH_QUAL	39.78543	11.000	56	47.3	0.021
