X1	X2	id	dist
ADC_Bla	ArmA_AGly	Acinetobacter_baumannii:N072:tig00000000	227054.5
ADC_Bla	BlaA1_Bla	Acinetobacter_baumannii:N072:tig00000000	614580
ADC_Bla	BlaA2_Bla	Acinetobacter_baumannii:N072:tig00000000	1270182.5
ADC_Bla	CARB-5_Bla	Acinetobacter_baumannii:N072:tig00000000	679373
ADC_Bla	Mbl_Bla	Acinetobacter_baumannii:N072:tig00000000	782367.5
ADC_Bla	MphE_MLS	Acinetobacter_baumannii:N072:tig00000000	231685
ADC_Bla	MsrE_MLS	Acinetobacter_baumannii:N072:tig00000000	230457.5
ADC_Bla	OXA-23_Bla	Acinetobacter_baumannii:N072:tig00000000	1375165
ADC_Bla	OXA-51_Bla	Acinetobacter_baumannii:N072:tig00000000	1004280.5
ADC_Bla	Zn-dependent_hydrolase_Bla	Acinetobacter_baumannii:N072:tig00000000	279838.5
ArmA_AGly	BlaA1_Bla	Acinetobacter_baumannii:N072:tig00000000	387525.5
ArmA_AGly	BlaA2_Bla	Acinetobacter_baumannii:N072:tig00000000	1043128
ArmA_AGly	CARB-5_Bla	Acinetobacter_baumannii:N072:tig00000000	452318.5
ArmA_AGly	Mbl_Bla	Acinetobacter_baumannii:N072:tig00000000	555313
ArmA_AGly	MphE_MLS	Acinetobacter_baumannii:N072:tig00000000	4630.5
ArmA_AGly	MsrE_MLS	Acinetobacter_baumannii:N072:tig00000000	3403
ArmA_AGly	OXA-23_Bla	Acinetobacter_baumannii:N072:tig00000000	1602219.5
ArmA_AGly	OXA-51_Bla	Acinetobacter_baumannii:N072:tig00000000	777226
ArmA_AGly	Zn-dependent_hydrolase_Bla	Acinetobacter_baumannii:N072:tig00000000	506893
BlaA1_Bla	BlaA2_Bla	Acinetobacter_baumannii:N072:tig00000000	655602.5
BlaA1_Bla	CARB-5_Bla	Acinetobacter_baumannii:N072:tig00000000	64793
BlaA1_Bla	Mbl_Bla	Acinetobacter_baumannii:N072:tig00000000	167787.5
BlaA1_Bla	MphE_MLS	Acinetobacter_baumannii:N072:tig00000000	382895
BlaA1_Bla	MsrE_MLS	Acinetobacter_baumannii:N072:tig00000000	384122.5
BlaA1_Bla	OXA-23_Bla	Acinetobacter_baumannii:N072:tig00000000	1989745
BlaA1_Bla	OXA-51_Bla	Acinetobacter_baumannii:N072:tig00000000	389700.5
BlaA1_Bla	Zn-dependent_hydrolase_Bla	Acinetobacter_baumannii:N072:tig00000000	894418.5
BlaA2_Bla	CARB-5_Bla	Acinetobacter_baumannii:N072:tig00000000	590809.5
BlaA2_Bla	Mbl_Bla	Acinetobacter_baumannii:N072:tig00000000	487815
BlaA2_Bla	MphE_MLS	Acinetobacter_baumannii:N072:tig00000000	1038497.5
BlaA2_Bla	MsrE_MLS	Acinetobacter_baumannii:N072:tig00000000	1039725
BlaA2_Bla	OXA-23_Bla	Acinetobacter_baumannii:N072:tig00000000	2645347.5
BlaA2_Bla	OXA-51_Bla	Acinetobacter_baumannii:N072:tig00000000	265902
BlaA2_Bla	Zn-dependent_hydrolase_Bla	Acinetobacter_baumannii:N072:tig00000000	1550021
CARB-5_Bla	Mbl_Bla	Acinetobacter_baumannii:N072:tig00000000	102994.5
CARB-5_Bla	MphE_MLS	Acinetobacter_baumannii:N072:tig00000000	447688
CARB-5_Bla	MsrE_MLS	Acinetobacter_baumannii:N072:tig00000000	448915.5
CARB-5_Bla	OXA-23_Bla	Acinetobacter_baumannii:N072:tig00000000	2054538
CARB-5_Bla	OXA-51_Bla	Acinetobacter_baumannii:N072:tig00000000	324907.5
CARB-5_Bla	Zn-dependent_hydrolase_Bla	Acinetobacter_baumannii:N072:tig00000000	959211.5
Mbl_Bla	MphE_MLS	Acinetobacter_baumannii:N072:tig00000000	550682.5
Mbl_Bla	MsrE_MLS	Acinetobacter_baumannii:N072:tig00000000	551910
Mbl_Bla	OXA-23_Bla	Acinetobacter_baumannii:N072:tig00000000	2157532.5
Mbl_Bla	OXA-51_Bla	Acinetobacter_baumannii:N072:tig00000000	221913
Mbl_Bla	Zn-dependent_hydrolase_Bla	Acinetobacter_baumannii:N072:tig00000000	1062206
MphE_MLS	MsrE_MLS	Acinetobacter_baumannii:N072:tig00000000	1227.5
MphE_MLS	OXA-23_Bla	Acinetobacter_baumannii:N072:tig00000000	1606850
MphE_MLS	OXA-51_Bla	Acinetobacter_baumannii:N072:tig00000000	772595.5
MphE_MLS	Zn-dependent_hydrolase_Bla	Acinetobacter_baumannii:N072:tig00000000	511523.5
MsrE_MLS	OXA-23_Bla	Acinetobacter_baumannii:N072:tig00000000	1605622.5
