Acinetobacter_baumannii	N072	tig00000000	2202965	2203853	CARB-5_Bla	99.11
Acinetobacter_baumannii	N072	tig00000000	2139119	2138113	BlaA1_Bla	98.63
Acinetobacter_baumannii	N072	tig00000000	1755283	1756159	MphE_MLS	99.10
Acinetobacter_baumannii	N072	tig00000000	1243722	1244673	Zn-dependent_hydrolase_Bla	98.86
Acinetobacter_baumannii	N072	tig00000000	2793587	2794850	BlaA2_Bla	99.14
Acinetobacter_baumannii	N072	tig00000000	2527909	2528724	OXA-51_Bla	98.91
Acinetobacter_baumannii	N072	tig00000000	2306749	2306058	Mbl_Bla	99.43
Acinetobacter_baumannii	N072	tig00000000	1753759	1755228	MsrE_MLS	99.59
Acinetobacter_baumannii	N072	tig00000000	1524606	1523466	ADC_Bla	98.96
Acinetobacter_baumannii	N072	tig00000000	1750707	1751474	ArmA_AGly	99.22
Acinetobacter_baumannii	N072	tig00000000	148463	149279	OXA-23_Bla	99.39
Acinetobacter_baumannii	N073	tig00000009	779790	780679	CARB-5_Bla	99.22
Acinetobacter_baumannii	N073	tig00000009	715901	714890	BlaA1_Bla	99.22
Acinetobacter_baumannii	N073	tig00000009	331643	332521	MphE_MLS	99.32
Acinetobacter_baumannii	N073	tig00000009	3669683	3670635	Zn-dependent_hydrolase_Bla	98.96
Acinetobacter_baumannii	N073	tig00000009	1370140	1371400	BlaA2_Bla	98.90
Acinetobacter_baumannii	N073	tig00000009	1104576	1105393	OXA-51_Bla	99.15
Acinetobacter_baumannii	N073	tig00000009	883056	882362	Mbl_Bla	99.86
Acinetobacter_baumannii	N073	tig00000009	330120	331588	MsrE_MLS	99.53
Acinetobacter_baumannii	N073	tig00000009	100025	98885	ADC_Bla	98.96
Acinetobacter_baumannii	N073	tig00000009	327068	327834	ArmA_AGly	99.10
Acinetobacter_baumannii	N073	tig00000009	2571384	2572201	OXA-23_Bla	99.51
Acinetobacter_baumannii	N074	tig00000000	226710	225821	CARB-5_Bla	99.22
